date,scope,seed,overall,float32_propagation,mode_parity
2026-04-24,quick,42,pass,pass,pass
2026-04-24,quick,42,pass,pass,pass
2026-04-24,quick,42,fail,fail,pass
2026-04-24,quick,42,fail,fail,fail
2026-04-24,quick,42,fail,fail,pass
2026-04-24,quick,42,fail,fail,pass
2026-04-24,quick,42,pass,pass,pass
2026-04-24,quick,42,pass,pass,pass
2026-04-24,quick,42,pass,pass,pass
2026-04-24,quick,42,pass,pass,pass
2026-04-24,quick,42,pass,pass,pass
2026-04-24,quick,42,pass,pass,pass
2026-04-24,quick,42,pass,pass,pass
2026-04-24,quick,42,pass,pass,pass
2026-04-24,quick,42,pass,pass,pass
2026-04-24,quick,42,pass,pass,pass
2026-04-24,quick,42,pass,pass,pass
2026-04-24,quick,42,pass,pass,pass
2026-04-24,quick,42,fail,pass,fail
2026-04-24,quick,42,pass,pass,pass
2026-04-24,quick,42,pass,pass,pass
2026-04-24,quick,42,pass,pass,pass
2026-04-24,quick,42,pass,pass,pass
2026-04-24,quick,42,pass,pass,pass
2026-04-25,quick,42,pass,pass,pass
2026-04-25,quick,42,pass,pass,pass
2026-04-25,quick,42,pass,pass,pass
2026-04-25,quick,42,pass,pass,pass
2026-04-25,quick,42,pass,pass,pass
2026-04-25,quick,42,pass,pass,pass
2026-04-25,quick,42,pass,pass,pass
2026-04-25,quick,42,pass,pass,pass
2026-04-25,quick,42,pass,pass,pass
2026-04-25,quick,42,pass,pass,pass
2026-04-25,quick,42,fail,fail,pass
2026-04-25,quick,42,fail,fail,pass
2026-04-25,quick,42,fail,fail,pass
2026-04-25,quick,42,pass,pass,pass
2026-04-25,quick,42,pass,pass,pass
2026-04-25,quick,42,pass,pass,pass
2026-04-25,quick,42,pass,pass,pass
2026-04-25,quick,42,pass,pass,pass
2026-04-26,quick,42,pass,pass,pass
2026-04-26,quick,42,pass,pass,pass
2026-04-26,quick,42,pass,pass,pass
2026-04-26,quick,42,pass,pass,pass
2026-04-26,quick,42,pass,pass,pass
2026-04-26,quick,42,pass,pass,pass
2026-04-26,quick,42,pass,pass,pass
2026-04-26,quick,42,pass,pass,pass
2026-04-26,quick,42,pass,pass,pass
2026-04-26,quick,42,pass,pass,pass
2026-04-26,quick,42,pass,pass,pass
2026-04-26,quick,42,pass,pass,pass
2026-04-26,quick,42,pass,pass,pass
2026-04-27,quick,42,pass,pass,pass
2026-04-27,quick,42,pass,pass,pass
2026-04-27,quick,42,pass,pass,pass
2026-04-27,quick,42,pass,pass,pass
2026-04-27,quick,42,pass,pass,pass
2026-04-27,quick,42,pass,pass,pass
2026-04-27,quick,42,pass,pass,pass
2026-04-27,quick,42,pass,pass,pass
2026-04-27,quick,42,pass,pass,pass
2026-04-27,quick,42,pass,pass,pass
2026-04-27,quick,42,pass,pass,pass
2026-04-27,quick,42,pass,pass,pass
2026-04-27,quick,42,pass,pass,pass
2026-06-28,quick,42,pass,pass,pass
2026-06-28,quick,42,pass,pass,pass
